"player","s_c","gp","gs","w","l","t","ot","sa","svs","ga","sv_percent","gaa","toi","so","g","a","p","pim"
"Laurent Brossoit","L",1,1,1,0,"--",0,28,28,0,1,0,"60:00",1,0,0,0,0
"Connor Hellebuyck","L",1,1,1,0,"--",0,27,27,0,1,0,"60:00",1,0,0,0,0
"Thatcher Demko","L",1,1,1,0,"--",0,36,35,1,0.972,1,"59:49",0,0,0,0,0
"Jon Gillies","L",1,1,1,0,"--",0,31,30,1,0.968,1,"59:50",0,0,0,0,0
"Tristan Jarry","L",1,1,1,0,"--",0,45,43,2,0.956,2,"60:00",0,0,0,0,0
"Anton Forsberg","L",1,1,1,0,"--",0,45,42,3,0.933,3.01,"59:52",0,0,0,0,0
"Elvis Merzlikins","L",1,1,1,0,"--",0,33,29,4,0.879,4,"60:00",0,0,0,0,0
"Kaapo Kahkonen","L",1,1,0,1,"--",0,28,27,1,0.964,1.05,"57:13",0,0,0,0,0
"Jeremy Swayman","L",1,1,0,1,"--",0,24,21,3,0.875,3.06,"58:55",0,0,0,0,0
"Antti Raanta","L",1,1,0,1,"--",0,31,27,4,0.871,4.19,"57:14",0,0,0,0,0
"Mike Smith","L",1,1,0,1,"--",0,28,24,4,0.857,4,"60:00",0,0,0,0,0
"Ilya Samsonov","L",1,0,0,1,"--",0,7,6,1,0.857,3.58,"16:46",0,0,0,0,0
"Karel Vejmelka","R",1,1,0,1,"--",0,29,24,5,0.828,5.04,"59:34",0,0,0,0,0
"Cayden Primeau","L",1,1,0,1,"--",0,34,27,7,0.794,7,"60:00",0,0,0,0,0
"Pheonix Copley","L",1,1,0,0,"--",0,19,15,4,0.789,5.63,"42:40",0,0,0,0,0
